"pagina","aeroporto","cliques","impressoes","ctr","posicao"
"https://movepark.co/estacionamentos/aeroporto-viracopos/virapark-estacionamento-viracopos/","VCP","2356","235518","1.00","9.65"
"https://movepark.co/estacionamentos/aeroporto-recife/aero-park-estacionamento-aeroporto-recife/","","1368","36366","3.76","10.55"
"https://movepark.co/estacionamentos/aeroporto-recife/","","1152","26886","4.28","9.83"
"https://movepark.co/estacionamentos/aeroporto-viracopos/","VCP","1085","41670","2.60","14.41"
"https://movepark.co/","","933","33626","2.77","8.93"
"https://movepark.co/blog/top-3-estacionamentos-do-aeroporto-de-navegantes/","","912","43210","2.11","8.12"
"https://movepark.co/blog/preco-estacionamento-aeroporto-afonso-pena-curitiba-saiba-tudo-aqui/","CWB","891","68623","1.30","9.15"
"https://movepark.co/estacionamentos/aeroporto-viracopos/garage-inn-aeroporto-viracopos/","VCP","884","108261","0.82","8.56"
"https://movepark.co/estacionamentos/aeroporto-afonso-pena/estacionamento-aeroporto-afonso-pena-curitiba/","CWB","715","70636","1.01","8.88"
"https://virapark.movepark.co/","","612","132387","0.46","5.10"
"https://movepark.co/estacionamentos/aeroporto-santos-dumont-rio/bh-park-estacionamento-aeroporto-santos-dumont/","","532","10246","5.19","8.67"
"https://movepark.co/estacionamentos/aeroporto-congonhas/congonhas-park-cgh/","","529","16816","3.15","14.49"
"https://movepark.co/blog/top-3-estacionamentos-do-aeroporto-de-congonhas/","","513","51303","1.00","11.61"
"https://movepark.co/blog/estacionamento-aeroporto-viracopos-vcp-guia-completo-com-precos-opcoes-e-a-melhor-escolha-economica/","VCP","451","73491","0.61","8.88"
"https://movepark.co/estacionamentos/aeroporto-afonso-pena/","CWB","407","26096","1.56","10.53"
"https://movepark.co/blog/top-3-estacionamentos-do-aeroporto-de-curitiba/","CWB","359","26595","1.35","8.88"
"https://movepark.co/estacionamentos/aeroporto-afonso-pena/abba-park-estacionamento-aeroporto-afonso-pena/","CWB","333","38134","0.87","8.58"
"https://movepark.co/estacionamentos/aeroporto-santos-dumont-rio/","","283","13278","2.13","12.39"
"https://movepark.co/estacionamentos/terminal-rodoviario-tiete/aerovalet-tiete-terminal-rodoviario-tiete/","","276","37513","0.74","9.48"
"https://movepark.co/estacionamentos/aeroporto-guarulhos/aeropark-guarulhos/","GRU","257","52075","0.49","7.86"
"https://garageinn.movepark.co/pt-br/aeroporto-viracopos/vaga-avulsa?utm_source=google-meu-negocio&utm_medium=referral&utm_campaign=reservaonline","VCP","250","82618","0.30","7.65"
"https://movepark.co/estacionamentos/aeroporto-guarulhos/","GRU","243","46825","0.52","24.48"
"https://movepark.co/estacionamentos/aeroporto-congonhas/","","235","14150","1.66","29.70"
"https://movepark.co/blog/top-3-estacionamentos-do-aeroporto-de-confins/","CNF","209","25241","0.83","9.69"
"https://movepark.co/blog/guia-atualizado-5-melhores-opcoes-de-estacionamento-no-aeroporto-guarulhos-em-2024/","GRU","198","24013","0.82","32.63"
"https://movepark.co/estacionamentos/aeroporto-congonhas/grand-parking-estacionamento-aeroporto-congonhas/","","196","22470","0.87","13.67"
"https://virapark.movepark.co/pt-br/virapark/vaga-avulsa","","182","149879","0.12","8.99"
