"consulta","aeroporto","cluster","clusters_casados","cliques","impressoes","ctr","posicao"
"garageinn viracopos - estacione dentro do aeroporto de viracopos","VCP","proximidade","proximidade","79","7739","1.02","5.70"
"estacionamento viracopos preço","VCP","preco","preco","41","5875","0.70","10.70"
"valor estacionamento aeroporto curitiba","CWB","preco","preco","39","2608","1.50","10.37"
"estacionamentos aeroporto curitiba preços","CWB","preco","preco","32","1149","2.79","11.28"
"estacionamento aeroporto curitiba barato","CWB","barato","barato","28","740","3.78","11.76"
"estacionamento aeroporto viracopos preço","VCP","preco","preco","25","3263","0.77","14.37"
"valor estacionamento aeroporto viracopos","VCP","preco","preco","22","2678","0.82","9.94"
"estacionamento perto do aeroporto de campinas","VCP","proximidade","proximidade","20","1209","1.65","13.87"
"estacionamento viracopos promoção","VCP","barato","barato","17","719","2.36","9.92"
"estacionamento em viracopos preço","VCP","preco","preco","15","1160","1.29","13.20"
"estacionamento perto do aeroporto afonso pena","CWB","proximidade","proximidade","14","440","3.18","9.69"
"estacionamento viracopos barato","VCP","barato","barato","14","400","3.50","8.93"
"estacionamento proximo aeroporto viracopos","VCP","proximidade","proximidade","13","1010","1.29","16.92"
"estacionamento proximo ao aeroporto viracopos","VCP","proximidade","proximidade","12","822","1.46","16.50"
"estacionamento próximo ao aeroporto de viracopos","VCP","proximidade","proximidade","12","646","1.86","14.18"
"valor do estacionamento no aeroporto de curitiba","CWB","preco","preco","12","383","3.13","8.44"
"preço estacionamento aeroporto curitiba","CWB","preco","preco","11","740","1.49","10.25"
"qual o melhor estacionamento perto do aeroporto de guarulhos","GRU","proximidade","proximidade","11","592","1.86","14.56"
"estacionamento aeroporto curitiba preço","CWB","preco","preco","10","624","1.60","10.69"
"estacionamento dentro do aeroporto viracopos","VCP","proximidade","proximidade","10","808","1.24","7.74"
"estacionamento aeroporto guarulhos barato","GRU","barato","barato","9","807","1.12","35.41"
"estacionamento barato aeroporto viracopos","VCP","barato","barato","9","129","6.98","8.33"
"estacionamento em campinas perto do aeroporto","VCP","proximidade","proximidade","9","562","1.60","6.37"
"estacionamento perto aeroporto viracopos","VCP","proximidade","proximidade","9","437","2.06","6.83"
"estacionamento perto de viracopos","VCP","proximidade","proximidade","9","841","1.07","17.85"
"estacionamento proximo aeroporto afonso pena","CWB","proximidade","proximidade","9","709","1.27","11.43"
"estacionamento aeroporto curitiba mais barato","CWB","barato","barato","8","167","4.79","6.65"
"estacionamento próximo a viracopos","VCP","proximidade","proximidade","8","207","3.86","7.09"
"avaliações sobre garageinn viracopos - estacione dentro do aeroporto de viracopos","VCP","proximidade","proximidade","7","2742","0.26","8.51"
"estacionamento aeroporto guarulhos mais barato","GRU","barato","barato","7","592","1.18","30.94"
"estacionamento barato aeroporto curitiba","CWB","barato","barato","7","185","3.78","6.09"
"estacionamento barato viracopos","VCP","barato","barato","7","577","1.21","17.06"
"estacionamento dentro do aeroporto afonso pena","CWB","proximidade","proximidade","7","306","2.29","8.31"
"estacionamento perto aeroporto campinas","VCP","proximidade","proximidade","7","214","3.27","6.07"
"estacionamento perto do aeroporto viracopos","VCP","proximidade","proximidade","7","236","2.97","6.61"
"estacionamento perto viracopos","VCP","proximidade","proximidade","7","250","2.80","6.30"
"estacionamento próximo ao aeroporto afonso pena","CWB","proximidade","proximidade","7","395","1.77","12.28"
"estacionamento próximo ao aeroporto de campinas","VCP","proximidade","proximidade","7","365","1.92","6.59"
"estacionamento viracopos mais barato","VCP","barato","barato","7","178","3.93","10.49"
"preço estacionamento aeroporto afonso pena","CWB","preco","preco","7","569","1.23","17.07"
"valor estacionamento aeroporto afonso pena","CWB","preco","preco","7","581","1.20","7.63"
"diaria aeroporto curitiba","CWB","preco","preco","6","208","2.88","8.22"
"estacionamento aeroporto afonso pena mais barato","CWB","barato","barato","6","409","1.47","5.22"
"estacionamento dentro do aeroporto de viracopos","VCP","proximidade","proximidade","6","426","1.41","8.21"
"estacionamento econômico viracopos","VCP","barato","barato","6","236","2.54","8.74"
"estacionamento proximo viracopos","VCP","proximidade","proximidade","6","627","0.96","22.24"
"estacionamento próximo ao aeroporto de guarulhos","GRU","proximidade","proximidade","6","1246","0.48","43.18"
"preço estacionamento aeroporto viracopos","VCP","preco","preco","6","679","0.88","9.27"
"estacionamento aeroporto confins mais barato","CNF","barato","barato","5","303","1.65","17.01"
"estacionamento em campinas proximo ao aeroporto","VCP","proximidade","proximidade","5","147","3.40","5.30"
"estacionamento mais barato aeroporto guarulhos","GRU","barato","barato","5","211","2.37","11.06"
"estacionamento perto do aeroporto de viracopos","VCP","proximidade","proximidade","5","569","0.88","11.83"
"estacionamento proximo a viracopos","VCP","proximidade","proximidade","5","621","0.81","20.71"
"estacionamento proximo aeroporto campinas","VCP","proximidade","proximidade","5","253","1.98","7.19"
"estacionamento proximo aeroporto guarulhos","GRU","proximidade","proximidade","5","2143","0.23","47.23"
"estacionamento próximo aeroporto de viracopos","VCP","proximidade","proximidade","5","225","2.22","7.06"
"preço estacionamento viracopos","VCP","preco","preco","5","1204","0.42","8.97"
"valor do estacionamento dentro do aeroporto de confins","CNF","proximidade","proximidade preco","5","380","1.32","12.44"
"valores estacionamento aeroporto curitiba","CWB","preco","preco","5","246","2.03","9.37"
"bolsao economico viracopos","VCP","barato","barato","4","257","1.56","9.19"
"diaria estacionamento aeroporto de curitiba","CWB","preco","preco","4","304","1.32","8.86"
"estacionamento aeroporto afonso pena valor","CWB","preco","preco","4","158","2.53","8.11"
"estacionamento em viracopos barato","VCP","barato","barato","4","184","2.17","8.35"
"estacionamento perto aeroporto curitiba","CWB","proximidade","proximidade","4","153","2.61","9.03"
"estacionamento perto do aeroporto de curitiba","CWB","proximidade","proximidade","4","151","2.65","11.87"
"estacionamento proximo ao aeroporto curitiba","CWB","proximidade","proximidade","4","182","2.20","16.86"
"estacionamento próximo aeroporto curitiba","CWB","proximidade","proximidade","4","124","3.23","10.31"
"qual o melhor estacionamento perto do aeroporto de confins","CNF","proximidade","proximidade","4","50","8.00","6.42"
"qual o valor do estacionamento do aeroporto de guarulhos","GRU","preco","preco","4","513","0.78","28.01"
"quanto custa deixar o carro no aeroporto de curitiba","CWB","preco","preco","4","95","4.21","7.32"
"valor diaria estacionamento aeroporto curitiba","CWB","preco","preco","4","342","1.17","6.58"
"valor diaria estacionamento aeroporto viracopos","VCP","preco","preco","4","393","1.02","8.89"
"diaria estacionamento aeroporto curitiba","CWB","preco","preco","3","100","3.00","7.92"
"diaria estacionamento aeroporto viracopos","VCP","preco","preco","3","325","0.92","7.83"
"diaria no aeroporto de guarulhos","GRU","preco","preco","3","211","1.42","18.31"
"diária estacionamento aeroporto curitiba","CWB","preco","preco","3","360","0.83","8.75"
"estacionamento aeroporto confins melhor preço","CNF","preco","preco","3","55","5.45","9.24"
