"aeroporto","cluster","consultas","cliques","impressoes","posicao_media"
"GRU","proximidade","53","0","743","51.67"
"GRU","barato","15","0","196","38.44"
"GRU","preco","160","1","2119","39.86"
"VCP","proximidade","43","16","1114","12.79"
"VCP","barato","10","1","161","13.06"
"VCP","preco","58","5","802","17.07"
"CNF","proximidade","24","4","366","12.22"
"CNF","barato","5","2","128","9.44"
"CNF","preco","43","3","409","14.26"
"CWB","proximidade","13","2","327","8.94"
"CWB","barato","6","2","105","11.93"
"CWB","preco","28","5","580","12.13"
