id,url_from,url_to_post_id,status,type,count
1,estacionamento/estacionamento-aeroporto-afonso-pena/,733,301,post,540
2,estacionamento/virapark-aeroporto-viracopos/,689,301,post,675
3,estacionamento-aeroporto-viracopos/virapark/,689,301,post,308
4,aeroporto-guarulhos/estacionamento-proximo-do-aeroporto-guarulhos-as-melhores-opcoes,193,301,post,1156
5,politicia-de-privacidade-old/,469,301,post,132
6,blog/campinas/,744,301,post,555
7,blog/viracopos/,744,301,post,372
8,blog/guarulhos/,742,301,post,493
9,blog/aeroporto-viracopos/,744,301,post,404
10,blog/aeroporto-guarulhos/,742,301,post,481
11,estacionamento/aeroporto-viracopos-garageinn/,694,301,post,33
12,guarulhos,742,301,post,136
13,campinas,744,301,post,685
14,afonso-pena,733,301,post,1
15,qual-e-o-melhor-estacionamento-aeroporto-viracopos-2022/,358,301,post,226
16,estacionamento-perto-do-aeroporto-de-guarulhos-reserve-online/,572,301,post,24
17,blog/categoria/aeroporto-viracopos/,744,301,post,0
18,estacionamento-aeroporto-guarulhos-veja-o-preco-dos-principais-estacionamentos/,446,301,post,142
19,encontre-sua-vaga-de-estacionamento-no-aeroporto-de-guarulhos/,420,301,post,18
20,como-evitar-problemas-no-estacionamento-do-aeroporto-guarulhos/,514,301,post,20
21,quanto-custa-para-estacionar-no-aeroporto-viracopos/,355,301,post,137
22,qual-e-o-melhor-estacionamento-aeroporto-guarulhos-2023/,404,301,post,149
23,estacionamento-proximo-do-aeroporto-guarulhos-as-melhores-opcoes/,193,301,post,359
24,conheca-os-5-principais-estacionamentos-no-aeroporto-de-guarulhos-em-2023/,452,301,post,124
25,estacionamento/estacionamento-aeroporto-congonhas/,96,301,post,416
26,estacionamento/aeroporto-viracopos-garageinn,694,301,post,1018
27,estacionamento-aeroporto-guarulhos/ponce-park-guarulhos/,695,301,post,688
28,estacionamento/virapark-estacionamento-viracopos/,689,301,post,3595
29,estacionamento/ponce-park-guarulhos/,695,301,post,110196
30,estacionamento/garage-inn-aeroporto-viracopos/,694,301,post,7986
31,estacionamento/nation-park-aeroporto-afonso-pena/,696,301,post,2773
32,estacionamentos/afonso-pena/,733,301,post,1107
33,estacionamentos/campinas/,744,301,post,1764
34,estacionamentos/guarulhos/,742,301,post,1067
35,estacionamento-aeroporto-guarulhos/,https://movepark.co/estacionamentos/aeroporto-guarulhos/,301,url,170
36,estacionamento-aeroporto-viracopos/,https://movepark.co/estacionamentos/aeroporto-viracopos/,301,url,175
37,estacionamento-aeroporto-afonso-pena/,https://movepark.co/estacionamentos/aeroporto-afonso-pena/,301,url,1
38,estacionamento-aeroporto-congonhas/,https://movepark.co/estacionamentos/aeroporto-congonhas/,301,url,1
39,estacionamento-aeroporto-confins/,https://movepark.co/estacionamentos/aeroporto-confins/,301,url,1
40,blog/ponce-park-descubra-se-o-estacionamento-aeroporto-gru-oferece-vagas-cobertas/,1013,301,url,296
