url_from,url_to_original,url_to_resolvida,status,count
estacionamento/estacionamento-aeroporto-afonso-pena/,733,https://movepark.co/estacionamentos/aeroporto-afonso-pena/,301,540
estacionamento/virapark-aeroporto-viracopos/,689,https://movepark.co/estacionamentos/aeroporto-viracopos/virapark-estacionamento-viracopos/,301,675
estacionamento-aeroporto-viracopos/virapark/,689,https://movepark.co/estacionamentos/aeroporto-viracopos/virapark-estacionamento-viracopos/,301,308
aeroporto-guarulhos/estacionamento-proximo-do-aeroporto-guarulhos-as-melhores-opcoes,193,https://movepark.co/blog/estacionamento-proximo-do-aeroporto-guarulhos-as-melhores-opcoes/,301,1156
politicia-de-privacidade-old/,469,https://movepark.co/politica-de-privacidade/,301,132
blog/campinas/,744,https://movepark.co/estacionamentos/aeroporto-viracopos/,301,555
blog/viracopos/,744,https://movepark.co/estacionamentos/aeroporto-viracopos/,301,372
blog/guarulhos/,742,https://movepark.co/estacionamentos/aeroporto-guarulhos/,301,493
blog/aeroporto-viracopos/,744,https://movepark.co/estacionamentos/aeroporto-viracopos/,301,404
blog/aeroporto-guarulhos/,742,https://movepark.co/estacionamentos/aeroporto-guarulhos/,301,481
estacionamento/aeroporto-viracopos-garageinn/,694,https://movepark.co/estacionamentos/aeroporto-viracopos/garage-inn-aeroporto-viracopos/,301,33
guarulhos,742,https://movepark.co/estacionamentos/aeroporto-guarulhos/,301,136
campinas,744,https://movepark.co/estacionamentos/aeroporto-viracopos/,301,685
afonso-pena,733,https://movepark.co/estacionamentos/aeroporto-afonso-pena/,301,1
qual-e-o-melhor-estacionamento-aeroporto-viracopos-2022/,358,https://movepark.co/blog/qual-e-o-melhor-estacionamento-aeroporto-viracopos-2022/,301,226
estacionamento-perto-do-aeroporto-de-guarulhos-reserve-online/,572,https://movepark.co/blog/estacionamento-perto-do-aeroporto-de-guarulhos-reserve-online/,301,24
blog/categoria/aeroporto-viracopos/,744,https://movepark.co/estacionamentos/aeroporto-viracopos/,301,0
estacionamento-aeroporto-guarulhos-veja-o-preco-dos-principais-estacionamentos/,446,https://movepark.co/blog/estacionamento-aeroporto-guarulhos-veja-o-preco-dos-principais-estacionamentos/,301,142
encontre-sua-vaga-de-estacionamento-no-aeroporto-de-guarulhos/,420,https://movepark.co/blog/encontre-sua-vaga-de-estacionamento-no-aeroporto-de-guarulhos/,301,18
